accordion,4
aircraft,162
airplane,148
ambulance,1
animal,1780
ant,1
antelope,23
auto_part,15344
baked_goods,7
ball,188
balloon,141
banana,22
barrel,1
bed,11
beetle,21
bench,11
bicycle,23966
bicycle_helmet,14817
bicycle_wheel,13768
billboard,69
billiard_table,12
bird,468
black,435422
blender,3
blue,386609
boat,693
book,51
bookcase,11
boot,2
bottle,123
bowl,38
bowling_equipment,9
box,37
boy,558
brown,358156
building,4164
bull,16
bus,353
butterfly,7
cabbage,14
cabinetry,2
camel,2
camera,5
candy,2
canoe,78
cap_(hat),5
car,6005
carnivore,342
cart,4
cat,21
caterpillar,4
cattle,236
centipede,1
chair,408
chest_of_drawers,1
chicken,17
christmas_tree,31
clock,1
clothing,40311
coat,41
coffeemaker,1
common_sunflower,32
computer_keyboard,52
computer_monitor,160
computer_mouse,15
container,235
convenience_store,45
cookie,5
cosmetics,3
couch,2
countertop,1
crab,3
crocodile,1
cube,1
curtain,18
cushion,2
dairy_product,13
deer,28
desk,11
dessert,10
dice,1
digital_clock,1
dinosaur,9
dish,52
dog,242
dog_bed,1
dolphin,45
door,37
dress,287
drink,3
drum,8
duck,2
eagle,1
egg_(food),4
elephant,15
fashion_accessory,1176
fedora,21
filing_cabinet,1
fire_hydrant,2
fish,249
fish_(food),20
flag,468
flower,349
flowerpot,18
food,335
football,2
football_helmet,2
footwear,2059
fountain,7
frog,4
fruit,91
frying_pan,1
furniture,862
girl,1186
glasses,562
glove,6
goat,18
goggles,49
golf_cart,9
grape,30
green,358514
grey,791184
guitar,1
handbag,4
hat,174
headphones,3
helicopter,14
helmet,15703
hiking_equipment,7
hippopotamus,16
home_appliance,9
horse,68
house,285
houseplant,52
human_eye,1
human_face,12007
human_foot,2
human_hand,5
ice_cream,1
insect,53
invertebrate,100
ipod,1
jacket,40
jar,2
jeans,4
jellyfish,26
jet_ski,3
juice,1
kitchen_appliance,7
kitchen_utensil,3
kitchenware,64
kite,4
ladder,7
land_vehicle,35965
lantern,4
laptop,52
lavender_(plant),11
light_bulb,8
lighthouse,1
limousine,1
lizard,3
luggage_and_bags,7
mammal,881
man,16517
marine_invertebrates,46
marine_mammal,58
mechanical_fan,15
medical_equipment,166
microphone,38
missile,1
mixer,1
mobile_phone,152
monkey,63
moths_and_butterflies,11
motor_vehicle,9917
motorcycle,3069
mug,2
mushroom,2
musical_instrument,2
musical_keyboard,1
oar,26
office_building,253
office_supplies,112
orange,236580
oven,1
paddle,26
palm_tree,303
pan_(for_cooking),2
parachute,22
pen,16
penguin,172
person,102180
personal_care,3
personal_flotation_device,43
piano,1
picture_frame,29
pig,18
pillow,2
pink,167057
pipe,2
plant,9744
plastic_bag,90
plate,14
platter,1
plumbing_fixture,19
poster,256
printer,2
pumpkin,1
punching_bag,5
purple,140357
rabbit,1
raven,12
rays_and_skates,2
red,329069
refrigerator,6
reptile,40
rhinoceros,1
rocket,3
rodent,1
roller_skates,21
rose,6
ruler,1
scoreboard,12
sculpture,9
sea_turtle,11
seabird,172
seafood,20
sewing_machine,1
shark,3
shelf,25
shirt,58
shorts,2
signboard,80
sink,18
skateboard,19
ski,1
skull,6
skyscraper,2023
snack,9
snowboard,1
snowman,5
snowmobile,3
sock,3
sofa_bed,1
sports_equipment,40017
sports_uniform,6
squash_(vegetable),1
squirrel,1
stairs,10
starfish,1
stereo_(sound_system),1
stool,1
street_light,398
street_sign,194
studio_couch,2
suit,676
suitcase,1
sun_hat,68
sunglasses,103
surfboard,51
swim_cap,5
swimming_pool,118
swimwear,3
table,399
tablet_computer,17
tableware,55
tank,9
tap,24
taxi,7
teapot,1
television,122
tent,19
tie,279
tiger,82
tin_can,4
tire,997
toilet,1
tomato,1
tool,13
tortoise,21
tower,62
toy,168
traffic_light,90
traffic_sign,194
train,73
tree,8552
tripod,4
trousers,12
truck,495
turtle,26
umbrella,110
van,319
vase,2
vegetable,43
vehicle,37180
vehicle_registration_plate,59
violin,3
wagon,4
waste_container,2
watch,29
watercraft,693
weapon,10
whale,57
wheel,15303
wheelchair,9
white,278951
whiteboard,6
willow,3
window,694
wok,1
woman,6730
yellow,159554
